id_frota;modelo;especialidade;codigo_filtro;tipo_filtro
46155;CAMINHAO FORD CARGO 242;CAMINHAO;1149866;FILTRO SEPARADOR
46155;CAMINHAO FORD CARGO 242;CAMINHAO;1180289;FILTRO COMBUSTIVEL
46155;CAMINHAO FORD CARGO 242;CAMINHAO;1235229;FILTRO AR INTERNO
46155;CAMINHAO FORD CARGO 242;CAMINHAO;1274934;FILTRO DA DIREÇÃO
46155;CAMINHAO FORD CARGO 242;CAMINHAO;1400198;FILTRO LUBRIFICANTE
46155;CAMINHAO FORD CARGO 242;CAMINHAO;1402432;FILTRO AR EXTERNO
60050;FIAT STRADA FREEDOM;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60050;FIAT STRADA FREEDOM;AUTOMOVEL;1546995;FILTRO LUBRIFICANTE
60050;FIAT STRADA FREEDOM;AUTOMOVEL;1622997;FILTRO AR EXTERNO
60050;FIAT STRADA FREEDOM;AUTOMOVEL;1623000;FILTRO COMBUSTIVEL
60052;VW GOL L MB5;AUTOMOVEL;878777;FILTRO LUBRIFICANTE
60052;VW GOL L MB5;AUTOMOVEL;918313;FILTRO AR CONDICIONADO
60052;VW GOL L MB5;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60052;VW GOL L MB5;AUTOMOVEL;2068199;FILTRO AR EXTERNO
60053;VW GOL L MB5;AUTOMOVEL;857415;FILTRO AR EXTERNO
60053;VW GOL L MB5;AUTOMOVEL;878777;FILTRO LUBRIFICANTE
60053;VW GOL L MB5;AUTOMOVEL;918313;FILTRO AR CONDICIONADO
60053;VW GOL L MB5;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60054;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60054;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60054;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60054;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60055;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60055;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60055;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60055;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60056;VW SAVEIRO CD RB MF;AUTOMOVEL;857415;FILTRO AR EXTERNO
60056;VW SAVEIRO CD RB MF;AUTOMOVEL;878777;FILTRO LUBRIFICANTE
60056;VW SAVEIRO CD RB MF;AUTOMOVEL;918313;FILTRO AR CONDICIONADO
60056;VW SAVEIRO CD RB MF;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60057;FIAT STRADA FREEDOM;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60057;FIAT STRADA FREEDOM;AUTOMOVEL;1546995;FILTRO LUBRIFICANTE
60057;FIAT STRADA FREEDOM;AUTOMOVEL;1622997;FILTRO AR EXTERNO
60057;FIAT STRADA FREEDOM;AUTOMOVEL;1623000;FILTRO COMBUSTIVEL
60058;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60058;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60058;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60058;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60059;VW GOL MPI;AUTOMOVEL;878777;FILTRO LUBRIFICANTE
60059;VW GOL MPI;AUTOMOVEL;918313;FILTRO AR CONDICIONADO
60059;VW GOL MPI;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60059;VW GOL MPI;AUTOMOVEL;2068199;FILTRO AR EXTERNO
60060;VW SAVEIRO ROBUST;AUTOMOVEL;857415;FILTRO AR EXTERNO
60060;VW SAVEIRO ROBUST;AUTOMOVEL;878777;FILTRO LUBRIFICANTE
60060;VW SAVEIRO ROBUST;AUTOMOVEL;918313;FILTRO AR CONDICIONADO
60060;VW SAVEIRO ROBUST;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60061;FIAT MOBI LIKE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60061;FIAT MOBI LIKE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60061;FIAT MOBI LIKE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60061;FIAT MOBI LIKE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60062;VW GOL L MC4;AUTOMOVEL;878777;FILTRO LUBRIFICANTE
60062;VW GOL L MC4;AUTOMOVEL;918313;FILTRO AR CONDICIONADO
60062;VW GOL L MC4;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60062;VW GOL L MC4;AUTOMOVEL;2068199;FILTRO AR EXTERNO
60063;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60063;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60063;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60063;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60064;FIAT STRADA FREEDOM;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60064;FIAT STRADA FREEDOM;AUTOMOVEL;1546995;FILTRO LUBRIFICANTE
60064;FIAT STRADA FREEDOM;AUTOMOVEL;1622997;FILTRO AR EXTERNO
60064;FIAT STRADA FREEDOM;AUTOMOVEL;1623000;FILTRO COMBUSTIVEL
60065;FIAT MOBI LIKE;#N/A;895260;FILTRO LUBRIFICANTE
60065;FIAT MOBI LIKE;#N/A;1391100;FILTRO AR EXTERNO
60065;FIAT MOBI LIKE;#N/A;1507941;FILTRO AR CONDICIONADO
60065;FIAT MOBI LIKE;#N/A;1546995;FILTRO COMBUSTIVEL
60066;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60066;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60066;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60066;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60067;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60067;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60067;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60067;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60068;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60068;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60068;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60068;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60069;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60069;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60069;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60069;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60070;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60070;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60070;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60070;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60071;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60071;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60071;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60071;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60072;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60072;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
60072;FIAT STRADA ENDURANCE;AUTOMOVEL;1507941;FILTRO AR CONDICIONADO
60072;FIAT STRADA ENDURANCE;AUTOMOVEL;1546995;FILTRO COMBUSTIVEL
60073;FIAT STRADA ENDURANCE;AUTOMOVEL;895260;FILTRO LUBRIFICANTE
60073;FIAT STRADA ENDURANCE;AUTOMOVEL;1391100;FILTRO AR EXTERNO
