ID;Categoria
46007;VEICULOS LEVES
46015;VEICULOS LEVES
60000;CAMINHONETE
60001;CAMINHONETE
60002;VEICULOS LEVES
60003;CAMINHONETE
60050;VEICULOS LEVES
60051;VEICULOS LEVES
60052;VEICULOS LEVES
60053;VEICULOS LEVES
60054;VEICULOS LEVES
60055;VEICULOS LEVES
60056;VEICULOS LEVES
60057;VEICULOS LEVES
60058;VEICULOS LEVES
60059;VEICULOS LEVES
60060;VEICULOS LEVES
60061;VEICULOS LEVES
60062;VEICULOS LEVES
60063;VEICULOS LEVES
60064;VEICULOS LEVES
60066;VEICULOS LEVES
60067;VEICULOS LEVES
60068;VEICULOS LEVES
60069;VEICULOS LEVES
60070;VEICULOS LEVES
60071;VEICULOS LEVES
60072;VEICULOS LEVES
60073;VEICULOS LEVES
60074;VEICULOS LEVES
60075;VEICULOS LEVES
60076;VEICULOS LEVES
60077;VEICULOS LEVES
60078;VEICULOS LEVES
60079;VEICULOS LEVES
60080;VEICULOS LEVES
60081;VEICULOS LEVES
60082;VEICULOS LEVES
60083;VEICULOS LEVES
60084;VEICULOS LEVES
60085;VEICULOS LEVES
60086;VEICULOS LEVES
60087;VEICULOS LEVES
60088;VEICULOS LEVES
60089;VEICULOS LEVES
60090;VEICULOS LEVES
60091;VEICULOS LEVES
60092;VEICULOS LEVES
60093;VEICULOS LEVES
60094;VEICULOS LEVES
60095;VEICULOS LEVES
60096;VEICULOS LEVES
60097;VEICULOS LEVES
60098;VEICULOS LEVES
60099;VEICULOS LEVES
60100;VEICULOS LEVES
60101;VEICULOS LEVES
60102;VEICULOS LEVES
60103;VEICULOS LEVES
60104;VEICULOS LEVES
60105;VEICULOS LEVES
60106;VEICULOS LEVES
60107;VEICULOS LEVES
60108;VEICULOS LEVES
60109;VEICULOS LEVES
60110;VEICULOS LEVES
60111;VEICULOS LEVES
60113;VEICULOS LEVES
60201;VEICULOS LEVES
60250;MOTOCICLETA
60251;MOTOCICLETA
60252;MOTOCICLETA
60253;MOTOCICLETA
60254;MOTOCICLETA
60255;MOTOCICLETA
60256;MOTOCICLETA
60257;MOTOCICLETA
60258;MOTOCICLETA
60259;MOTOCICLETA
60260;MOTOCICLETA
60261;MOTOCICLETA
60262;MOTOCICLETA
60263;MOTOCICLETA
60264;MOTOCICLETA
60265;MOTOCICLETA
60266;MOTOCICLETA
60267;MOTOCICLETA
60268;MOTOCICLETA
60269;MOTOCICLETA
60270;MOTOCICLETA
60271;MOTOCICLETA
60272;MOTOCICLETA
60273;MOTOCICLETA
60400;QUADRICICLO
60401;QUADRICICLO
60402;QUADRICICLO
60403;QUADRICICLO
60500;CAMINHÃO LOCALIZADA
60501;CAMINHÃO LOCALIZADA
60502;CAMINHÃO LOCALIZADA
60503;CAMINHÃO LOCALIZADA
60504;CAMINHÃO LOCALIZADA
60505;CAMINHÃO LOCALIZADA
60506;CAMINHÃO LOCALIZADA
60507;CAMINHÃO LOCALIZADA
60508;CAMINHÃO LOCALIZADA
60509;CAMINHÃO LOCALIZADA
60510;CAMINHÃO CANAVIEIRO
60511;CAMINHÃO CANAVIEIRO
60512;CAMINHÃO CANAVIEIRO
60513;CAMINHÃO CANAVIEIRO
60514;CAMINHÃO CANAVIEIRO
60515;CAMINHÃO CANAVIEIRO
60516;CAMINHÃO CANAVIEIRO
60517;CAMINHÃO CANAVIEIRO
60518;CAMINHÃO CANAVIEIRO
60519;CAMINHÃO CANAVIEIRO
60520;CAMINHÃO CANAVIEIRO
60521;CAMINHÃO CANAVIEIRO
60522;CAMINHÃO CANAVIEIRO
60523;CAMINHÃO CANAVIEIRO
60524;CAMINHÃO CANAVIEIRO
60525;CAMINHÃO CANAVIEIRO
60526;CAMINHÃO CANAVIEIRO
60527;CAMINHÃO CANAVIEIRO
60528;CAMINHÃO CANAVIEIRO
60529;CAMINHÃO CANAVIEIRO
60530;CAMINHÃO CANAVIEIRO
60531;CAMINHÃO CANAVIEIRO
60532;CAMINHÃO CANAVIEIRO
60533;CAMINHÃO CANAVIEIRO
60534;CAMINHÃO CANAVIEIRO
60535;CAMINHÃO CANAVIEIRO
60536;CAMINHÃO CANAVIEIRO
60537;CAMINHÃO CANAVIEIRO
60538;CAMINHÃO CANAVIEIRO
60539;CAMINHÃO CANAVIEIRO
60540;CAMINHÃO CANAVIEIRO
60541;CAMINHÃO CANAVIEIRO
